ko_to_module_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
M00802	0.004668153615681724	0.013364409658713706	0.08552190414306844	0.016418138426608702
M00803	0.0016679595151201892	0.0035976867240991623	0.025594742208490274	0.00533199147851193
M00804	0.0078122780384709736	0.002882363765729464	0.010611793095443472	0.003158549708885806
M00806	0.011691700172764379	0.026061555485998426	0.0029366421055877145	0.014764621058740292
M00807	0.002498355969886011	0.007054864770768869	0.0004221202912302258	9.764727057821639e-05
M00809	0.13214804459214777	0.0432517174819347	0.019661678154661265	0.03260640922715308
M00813	0.33347387556116326	0.1624229242898639	0.06868714667844755	0.08060044033260516
M00816	0.8333599246978209	0.49697675465494917	0.17926256033559324	0.1751263232361722
M00817	0.43412202514063514	0.3543383852691436	0.12328104909220454	0.08771841577486783
M00820	0.016255775069821416	0.003239757879658649	0.0016708093962363975	0.01341031345026844
M00821	0.04995683280791949	0.04188580758481336	0.0823554721224063	0.07806252518787474
M00822	0.0569371510907874	0.03718635103488744	0.07885436109516605	0.07988913912765382
M00830	0.0	2.314363604649837e-05	0.0	0.0
M00835	0.000101825240305633	0.000378895853167348	9.150284480218183e-05	8.201420581818471e-05
M00836	0.0002256970227961773	0.002851143519243816	0.00019515303992376765	0.00107145538949893
M00839	0.12770445172105985	0.10474074114320969	0.0330808530545537	0.0728155442376382
M00840	0.7143545671678405	0.7342372872547693	0.9557187072158122	0.9322595126151088
M00841	0.9406856833532473	0.8345514562757652	1.2367689787216047	1.2364345699412345
M00842	0.40280029433432785	0.343017333743729	0.594809649419993	0.4967266907975963
